playerID,yearID,salary,stint,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,W,L,G_right,GS,CG,SHO,SV,IPouts,H_right,ER,HR_right,BB_right,SO_right,BAOpp,ERA,IBB_right,WP,HBP_right,BK,BFP,GF,R_right,SH_right,SF_right,GIDP_right,GS_right,InnOuts,PO,A,E,DP,PB,WP_right,SB_right,CS_right,ZR,Training-Validation
huffau01,2007,4000000,1,151,0,550,68,154,34,5,15,72,1,1,48,87,2,1,0,4,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
pennybr01,2008,9250000,1,19,0,26,2,5,0,0,0,2,0,0,0,7,0,0,6,0,0,0,6,9,19,17,0,0,0,284,112,66,13,42,51,0.304,6.27,0,1,3,1,426,1,68,10,2,12,17,284,6,17,1,2,0,0,0,0,0,Training
ruizca01,2011,2750000,1,132,0,410,49,116,23,0,6,40,1,0,48,48,10,10,3,1,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
bernaro01,2013,1212500,3,112,0,227,26,41,10,2,4,11,4,0,16,65,1,5,2,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
sabatcc01,2008,11000000,3,35,0,51,4,12,2,0,2,7,0,0,0,12,0,0,2,0,4,0,17,10,35,35,10,5,0,759,223,76,19,59,251,0.474,5.48,1,2,7,2,1023,0,85,9,6,20,35,759,5,28,1,5,0,0,0,0,0,Training
bardjo01,2007,1050000,1,118,0,389,42,111,27,2,5,51,0,1,50,58,7,0,1,3,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
reedje03,2011,550000,1,7,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
kempma01,2007,383000,1,98,0,292,47,100,12,5,10,42,10,5,16,66,0,0,0,3,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
bailean01,2011,465000,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,42,0,0,0,24,125,34,15,3,12,41,0.218,3.24,2,0,0,0,170,37,18,1,1,3,0,125,1,4,0,0,0,0,0,0,0,Training
macdomi01,2009,2650000,3,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,57,0,0,0,20,163,52,26,3,38,34,0.636,16.060000000000002,3,10,3,0,246,41,31,2,3,12,0,163,4,6,1,2,0,0,0,0,0,Training
trumbma01,2014,4800000,1,88,0,328,37,77,15,1,14,61,2,3,28,89,3,1,0,5,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
quintom01,2009,408000,1,58,0,58,7,10,2,0,0,2,0,0,8,27,0,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
welleto01,2008,1000000,1,33,0,58,2,9,0,0,0,5,0,0,1,29,0,0,12,1,0,0,13,9,32,32,0,0,0,575,178,79,25,62,134,0.245,3.71,1,7,7,1,807,0,84,6,6,9,,,,,,,,,,,,Training
molinbe01,2009,6500000,1,132,0,491,52,130,25,1,20,80,0,0,13,68,3,5,0,11,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
lerewan01,2008,390000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
hafnetr01,2008,8050000,1,57,0,198,21,39,10,0,5,24,1,1,27,55,6,5,0,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
freesda01,2011,416000,1,97,0,333,41,99,16,1,10,55,1,0,24,75,0,4,0,2,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
schafjo02,2012,489000,1,106,0,313,40,66,10,2,4,23,27,9,36,106,3,3,6,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
hernara02,2011,2947318,1,91,0,298,28,84,13,0,12,36,0,0,23,41,6,5,0,2,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
affelje01,2015,6000000,1,52,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,52,0,0,0,0,106,43,23,6,14,21,0.293,5.86,2,1,2,0,163,7,24,0,0,4,0,106,3,6,0,0,0,0,0,0,0,Training
santaca01,2011,416600,1,155,0,552,84,132,35,2,27,79,5,3,97,133,7,2,0,7,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
wilsobr01,2012,8500000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6,4,2,0,2,2,0.4,9.0,0,1,0,0,12,2,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,Training
